epoch,train_loss,val_loss,train_rmse,val_rmse,train_pearson,val_pearson
0,0.7647753557493521,0.7303946614265442,0.22946123515450678,0.20987695455551147,0.9931024692779363,0.952459454536438
1,0.7369012269862862,0.5332837104797363,0.2262288396788198,0.18928350508213043,0.9546719515046408,0.6797046661376953
2,0.6162761584270832,0.5112945437431335,0.21825046022964079,0.19373734295368195,0.7857823833476666,0.6463886499404907
3,0.5665040488853011,0.47787338495254517,0.211410579605158,0.1861489862203598,0.7176160726436349,0.6018997430801392
4,0.5411761861900951,0.44404125213623047,0.2081599652420643,0.18071894347667694,0.6828292003897733,0.5559031963348389
5,0.5237148635609206,0.4892139434814453,0.20643647462129594,0.18840864300727844,0.6586251706578011,0.6171254515647888
6,0.5139088528793911,0.44729679822921753,0.20510114535342816,0.1870443969964981,0.6451903151911359,0.5578457117080688
7,0.5026352560104326,0.440191388130188,0.2033774555422539,0.17976433038711548,0.6298257683598718,0.5508102178573608
8,0.49447918499625004,0.4417024254798889,0.20237759566584299,0.18338370323181152,0.6186042290787365,0.5514139533042908
9,0.49031890388145005,0.4202723801136017,0.2018220262125481,0.17520572245121002,0.6128997598969659,0.5243134498596191
10,0.4833757342294205,0.44805845618247986,0.20066137972266174,0.18219780921936035,0.6034803524959919,0.5610055923461914
11,0.47830233580844345,0.40609145164489746,0.2000718823699064,0.17639994621276855,0.5964864030826923,0.5035548210144043
12,0.47383998757184936,0.43388351798057556,0.1994732143573983,0.17822183668613434,0.5903693795204162,0.5424571633338928
13,0.46908713787101036,0.443406343460083,0.19879490365815716,0.18069179356098175,0.5838714132475299,0.5549919605255127
14,0.4649614361829536,0.4210752546787262,0.19798468278591022,0.17453430593013763,0.5783257391563682,0.5257391333580017
15,0.46034109703330106,0.415169358253479,0.19704993058775747,0.17330072820186615,0.5721271997274354,0.5178353786468506
16,0.45864613534406173,0.39859867095947266,0.1968823929858762,0.17156995832920074,0.5697784895120666,0.494920551776886
17,0.4545644380325495,0.42723068594932556,0.19619587635578112,0.17676974833011627,0.5642431177372156,0.5335692167282104
18,0.45175986047400984,0.42136579751968384,0.19562363000803215,0.17727629840373993,0.5604829279489295,0.5249843001365662
19,0.44765588814436,0.4479931890964508,0.19479507921740066,0.18124158680438995,0.5549763841684474,0.5612988471984863
20,0.44727247579153195,0.4014401137828827,0.1948524601584257,0.17235589027404785,0.554404377660086,0.49863964319229126
21,0.4432353057833605,0.4266459047794342,0.19424059124186982,0.17869271337985992,0.5489010652830434,0.5319055318832397
22,0.43955991108750186,0.4136805534362793,0.1936772887789926,0.1739681363105774,0.5438936215500499,0.5154370069503784
23,0.43614836834197823,0.45858949422836304,0.19295384544272756,0.18437010049819946,0.5393307823081349,0.5750837326049805
24,0.43414506995400715,0.43994495272636414,0.19242894361878551,0.17957448959350586,0.5366956049619719,0.5505292415618896
25,0.43195095547409945,0.4241352081298828,0.19209466933511024,0.17512646317481995,0.5337051126846047,0.5298463106155396
26,0.42968244739743167,0.4562799036502838,0.1916884228240612,0.1812596470117569,0.5306394460589386,0.5731176733970642
27,0.42628948445930037,0.43433547019958496,0.19109198035195815,0.17898739874362946,0.5260501567707505,0.5427612066268921
28,0.422625901186189,0.4304068684577942,0.19064843481363253,0.17687523365020752,0.5210095064584599,0.538048505783081
29,0.41956694112267606,0.4199643135070801,0.1900618178899898,0.17520949244499207,0.5168929134690484,0.5238462090492249
30,0.41722962676092634,0.4165923595428467,0.18960588411536328,0.17417916655540466,0.5137500417786975,0.5194814801216125
31,0.4164363017608953,0.4586000144481659,0.1893949469161588,0.1851648986339569,0.5127081363700157,0.5747491121292114
32,0.411915010699006,0.4232713282108307,0.18853884003190108,0.17719651758670807,0.5066195906594743,0.5277127623558044
33,0.41077529039493826,0.397237628698349,0.188306639880635,0.17094914615154266,0.5050919764263685,0.4932599663734436
34,0.40788491922755576,0.40680572390556335,0.18791885968557623,0.17309662699699402,0.5011312519395075,0.5059781074523926
35,0.40403919816017153,0.4164673089981079,0.18720903625321944,0.17544645071029663,0.49594512290732806,0.5187459588050842
36,0.4020962288906408,0.42366641759872437,0.18695228210715362,0.17553222179412842,0.4932802002097285,0.5289866328239441
37,0.3991943775221359,0.4236602187156677,0.18619205258613408,0.17897602915763855,0.48946278940799626,0.5275037884712219
38,0.39529748558998107,0.4410944879055023,0.18564106257155885,0.1773659735918045,0.4841360402661701,0.5530966520309448
39,0.39153328662694886,0.4336535930633545,0.18495484081118607,0.18054015934467316,0.4790567890156147,0.541088342666626
40,0.39158539647279783,0.4315541684627533,0.18506754855083865,0.17716673016548157,0.47908164678617965,0.5395289659500122
41,0.38722020540126534,0.44846585392951965,0.1842535031742828,0.1800365000963211,0.47319884009139485,0.5624561309814453
42,0.3862020028885021,0.41278743743896484,0.18396458296581755,0.17399661242961884,0.4718679598597593,0.5141075849533081
43,0.3824995839318564,0.4411980211734772,0.18338856263909228,0.18132007122039795,0.4668305940406267,0.5515127182006836
44,0.38118300521096515,0.43724092841148376,0.1830586138852807,0.17948879301548004,0.4650928272757419,0.5466470122337341
45,0.37497392317583395,0.43881532549858093,0.1820442190350488,0.17895351350307465,0.4566657644371654,0.5491695404052734
46,0.3748915828937708,0.45369675755500793,0.1819619843086531,0.18252572417259216,0.4565811792085337,0.5688431262969971
47,0.3718802286441936,0.43951931595802307,0.1816348003440125,0.17958302795886993,0.4524234649746917,0.5498671531677246
48,0.3671525540046914,0.44106727838516235,0.1805959776043892,0.18180519342422485,0.4461223671602648,0.551109790802002
49,0.3656145856130955,0.45035210251808167,0.18023698562106422,0.1819552183151245,0.44408027779224307,0.5643124580383301
50,0.3636316962713419,0.44092369079589844,0.17975541093321734,0.1790156066417694,0.4414546340010887,0.5521087646484375
51,0.3597493806550669,0.4239688515663147,0.17923199423523836,0.17653603851795197,0.4361393003962761,0.5289556980133057
52,0.35728733290073483,0.44333961606025696,0.1788342900400938,0.18058624863624573,0.43279454749684,0.554857611656189
53,0.3543268677800201,0.42851075530052185,0.1782886391115743,0.17627860605716705,0.4288047696268836,0.5355350971221924
